2024-01-17 14:28:05, 0 mm, 0 Hz
2024-01-17 14:28:05, 0 mm, 0 Hz
2024-01-17 14:28:05, 0 mm, 0 Hz
2024-01-17 14:28:05, 0 mm, 0 Hz
2024-01-17 14:28:05, 0 mm, 0 Hz
2024-01-17 14:28:05, 0 mm, 0 Hz
2024-01-17 14:28:05, 0 mm, 0 Hz
2024-01-17 14:28:05, 0 mm, 0 Hz
2024-01-17 14:28:05, 0 mm, 0 Hz
2024-01-17 14:28:05, 0 mm, 0 Hz
2024-01-17 14:28:05, 0 mm, 0 Hz
2024-01-17 14:28:05, 0 mm, 0 Hz
2024-01-17 14:28:05, 0 mm, 0 Hz
2024-01-17 14:28:05, 0 mm, 0 Hz
2024-01-17 14:28:06, 0 mm, 0 Hz
2024-01-17 14:28:06, 0 mm, 0 Hz
2024-01-17 14:28:06, 0 mm, 0 Hz
2024-01-17 14:28:06, 0 mm, 0 Hz
2024-01-17 14:28:06, 0 mm, 0 Hz
2024-01-17 14:28:06, 0 mm, 0 Hz
2024-01-17 14:28:06, 0 mm, 0 Hz
2024-01-17 14:28:06, 0 mm, 0 Hz
2024-01-17 14:28:06, 0 mm, 0 Hz
2024-01-17 14:28:06, 0 mm, 0 Hz
2024-01-17 14:28:06, 0 mm, 0 Hz
2024-01-17 14:28:06, 0 mm, 0 Hz
2024-01-17 14:28:06, 0 mm, 0 Hz
2024-01-17 14:28:06, 0 mm, 0 Hz
2024-01-17 14:28:07, 0 mm, 0 Hz
2024-01-17 14:28:07, 0 mm, 0 Hz
2024-01-17 14:28:07, 0 mm, 0 Hz
2024-01-17 14:28:07, 0 mm, 0 Hz
2024-01-17 14:28:07, 0 mm, 0 Hz
2024-01-17 14:28:07, 0 mm, 0 Hz
2024-01-17 14:28:07, 0 mm, 0 Hz
2024-01-17 14:28:07, 0 mm, 0 Hz
2024-01-17 14:28:07, 0 mm, 0 Hz
2024-01-17 14:28:07, 0 mm, 0 Hz
2024-01-17 14:28:07, 0 mm, 0 Hz
2024-01-17 14:28:07, 0 mm, 0 Hz
2024-01-17 14:28:07, 0 mm, 0 Hz
2024-01-17 14:28:07, 0 mm, 0 Hz
2024-01-17 14:28:08, 0 mm, 0 Hz
2024-01-17 14:28:08, 0 mm, 0 Hz
2024-01-17 14:28:08, 0 mm, 0 Hz
2024-01-17 14:28:08, 0 mm, 0 Hz
2024-01-17 14:28:08, 0 mm, 0 Hz
2024-01-17 14:28:08, 0 mm, 0 Hz
2024-01-17 14:28:08, 0 mm, 0 Hz
2024-01-17 14:28:08, 0 mm, 0 Hz
2024-01-17 14:28:08, 0 mm, 0 Hz
2024-01-17 14:28:08, 0 mm, 0 Hz
2024-01-17 14:28:08, 0 mm, 0 Hz
2024-01-17 14:28:08, 0 mm, 0 Hz
2024-01-17 14:28:08, 0 mm, 0 Hz
2024-01-17 14:28:08, 0 mm, 0 Hz
2024-01-17 14:28:09, 0 mm, 0 Hz
2024-01-17 14:28:09, 0 mm, 0 Hz
2024-01-17 14:28:09, 0 mm, 0 Hz
2024-01-17 14:28:09, 0 mm, 0 Hz
2024-01-17 14:28:09, 0 mm, 0 Hz
2024-01-17 14:28:09, 0 mm, 0 Hz
2024-01-17 14:28:09, 0 mm, 0 Hz
2024-01-17 14:28:09, 0 mm, 0 Hz
2024-01-17 14:28:09, 0 mm, 0 Hz
2024-01-17 14:28:09, 0 mm, 0 Hz
2024-01-17 14:28:09, 0 mm, 0 Hz
2024-01-17 14:28:09, 0 mm, 0 Hz
2024-01-17 14:28:09, 0 mm, 0 Hz
2024-01-17 14:28:09, 0 mm, 0 Hz
2024-01-17 14:28:10, 0 mm, 0 Hz
2024-01-17 14:28:10, 0 mm, 0 Hz
2024-01-17 14:28:10, 0 mm, 0 Hz
2024-01-17 14:28:10, 0 mm, 0 Hz
2024-01-17 14:28:10, 0 mm, 0 Hz
